Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C2",0201,2,100pF (101),
C3,0805,1,22nF (223),
C4,0402,1,3.3nF (332),
C5,1206,1,2.2uF (225),
C6,0402,1,100nF (104),
C7,CP_Elec_5x5.4,1,10uF,
"D1, D2, D3, D4, D5, D6",D_SOD-323,6,BAT43,
D7,LED_D5.0mm,1,LED_Filled,
"Decay1, Tone1, Tune1",Pot_9mm_DShaft_RemovedPins4_5,3,100K,
J1,EighthInch_PJ398SM_T_TN_S,1,Trig,
J2,EighthInch_PJ398SM_T_TN_S,1,Decay CV,
J3,EighthInch_PJ398SM_T_TN_S,1,Tune CV,
J4,Pins_2x08_2.54mm_TH_EuroPower_Shrouded_Minimal,1,Eurorack_Power_16pin_Shrouded,
J5,EighthInch_PJ398SM_T_TN_S,1,Out,
Q1,SOT-23,1,2SC1815,
"R1, R2, R3, R4, R5, R6",0805,6,1K,
R10,0805,1,33K,
R11,0402,1,470,
R12,1206,1,2.7K,
"R13, R7, R8, R9",1206,4,100K,
