Designator,Mid X,Mid Y,Rotation,Layer
A1,66.044,-74.106343,180.0,bottom
C1,76.2,-68.895,90.0,bottom
C2,77.738,-98.490343,270.0,bottom
C3,55.245,-70.17,90.0,bottom
C4,53.12,-97.982343,180.0,bottom
C5,77.47,-154.751343,0.0,bottom
C6,74.436,-100.990343,90.0,bottom
C7,55.88,-103.570343,180.0,bottom
D1,64.149,-151.576343,90.0,bottom
D2,52.719,-151.576343,90.0,bottom
D3,67.959,-126.176343,90.0,bottom
D4,79.375,-126.176343,90.0,bottom
D5,52.705,-126.176343,90.0,bottom
D6,64.149,-126.176343,90.0,bottom
D7,73.679,-136.336343,0.0,top
Decay1,66.056589,-99.4395,180.0,top
J1,58.434,-149.281343,270.0,top
J2,73.674,-123.881343,270.0,top
J3,58.434,-123.881343,270.0,top
J4,66.054,-112.460343,270.0,bottom
J5,73.674,-149.281343,270.0,top
Q1,66.675,-144.4775,90.0,bottom
R1,76.849,-72.201343,90.0,bottom
R10,55.259,-83.631343,90.0,bottom
R11,55.259,-53.151343,270.0,bottom
R12,76.835,-81.28,270.0,bottom
R13,55.259,-95.061343,90.0,bottom
R2,76.849,-53.151343,270.0,bottom
R3,76.849,-76.011343,270.0,bottom
R4,62.244,-154.751343,0.0,bottom
R5,77.47,-129.54,0.0,bottom
R6,54.624,-129.54,180.0,bottom
R7,55.259,-64.581343,270.0,bottom
R8,76.849,-87.441343,270.0,bottom
R9,55.245,-88.9,90.0,bottom
Tone1,66.056589,-58.3169,180.0,top
Tune1,66.056752,-79.121343,180.0,top
